Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
418793.069,176540.1678,10817.03505,5.489852151,75.55857975,140.3433766,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
411190.7111,207137.0835,15476.65894,-2.113575269,70.30320341,156.7973417,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
383236.1662,191335.7595,11677.23442,1.942956349,62.61458333,188.2471892,28,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
439065.0779,219713.6474,13209.71302,5.43313172,62.39908154,197.9807721,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
456723.4478,204100.4345,12107.27667,12.56460648,68.95763889,135.3763503,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
554187.414,215521.4594,14404.35561,17.91901882,74.3156362,192.3388217,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
592159.2516,211651.7475,16242.51058,22.21377315,69.30104167,225.3063657,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
647718.7606,207970.1465,18632.52999,26.66420251,66.30790771,284.5905765,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
640190.3548,219713.6474,17272.44479,23.04596774,77.16319444,219.8065636,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
579596.0808,204100.4345,14453.70621,20.35770833,84.16527778,153.3049769,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
485465.0822,211329.2715,13223.24169,12.89782706,75.73711918,157.4538157,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
435536.1118,203267.3715,12029.03301,9.760949074,74.10636574,128.5277006,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
423505.4636,207970.1465,12453.505,5.489852151,75.55857975,140.3433766,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
417915.8578,195102.2636,16980.70411,-2.113575269,70.30320341,156.7973417,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
389195.9382,180219.0084,12760.42858,1.942956349,62.61458333,188.2471892,28,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
446568.3492,206948.1198,14449.84939,5.43313172,62.39908154,197.9807721,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
457282.4728,192242.0462,13236.59807,12.56460648,68.95763889,135.3763503,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
546569.7442,202999.501,15694.19392,17.91901882,74.3156362,192.3388217,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
577572.0499,199354.6222,17633.94133,22.21377315,69.30104167,225.3063657,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
622101.5317,195886.925,20169.03899,26.66420251,66.30790771,284.5905765,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
621545.1039,206948.1198,18748.98064,23.04596774,77.16319444,219.8065636,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
563867.1819,192242.0462,15728.45403,20.35770833,84.16527778,153.3049769,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
485894.108,199050.8823,14428.16135,12.89782706,75.73711918,157.4538157,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
439580.4622,191457.3848,13158.03271,9.760949074,74.10636574,128.5277006,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
429137.7188,195886.925,13617.48339,5.489852151,75.55857975,140.3433766,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
374658.2432,186925.3967,17581.3502,-2.113575269,70.30320341,156.7973417,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
348286.1598,172665.9087,13416.90547,1.942956349,62.61458333,188.2471892,28,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
397956.0251,198274.7851,14737.48661,5.43313172,62.39908154,197.9807721,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
410506.8511,184185.0529,13406.63247,12.56460648,68.95763889,135.3763503,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
493459.3928,194491.6556,15764.43278,17.91901882,74.3156362,192.3388217,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
522856.4698,190999.5361,17767.78923,22.21377315,69.30104167,225.3063657,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
568131.56,187677.1724,20629.76316,26.66420251,66.30790771,284.5905765,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
562550.0056,198274.7851,18890.86949,23.04596774,77.16319444,219.8065636,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
510991.8946,184185.0529,15795.82468,20.35770833,84.16527778,153.3049769,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
437464.0857,190708.5262,14565.95182,12.89782706,75.73711918,157.4538157,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
394507.8698,183433.2772,13418.54651,9.760949074,74.10636574,128.5277006,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
384538.6798,187677.1724,13922.27491,5.489852151,75.55857975,140.3433766,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
365694.1538,171247.3914,11704.70828,-2.113575269,70.30320341,156.7973417,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
340905.8184,158183.8904,8822.956127,1.942956349,62.61458333,188.2471892,28,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
