Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
556767.5274,208384.8883,14343.63937,4667.41039,20.35770833,84.16527778,153.3049769,30,9.090225935,11.84667137,0.573576532,0.000261157
470901.1991,215765.4722,13139.51362,32043.20733,12.89782706,75.73711918,157.4538157,31,9.090225935,11.84667137,0.573576532,0.000261157
423594.8497,207534.3377,11913.54488,54069.36399,9.760949074,74.10636574,128.5277006,30,9.090225935,11.84667137,0.573576532,0.000261157
412448.3523,212335.8328,12324.06427,99300.10849,5.489852151,75.55857975,140.3433766,31,9.090225935,11.84667137,0.573576532,0.000261157
432991.2424,209088.0977,14181.42755,250422.2633,-2.113575269,70.30320341,156.7973417,31,12.15195011,11.71238941,0.621118259,0.000265971
404594.207,193137.9418,11255.41197,123940.4227,1.942956349,62.61458333,188.2471892,28,12.15195011,11.71238941,0.621118259,0.000265971
464764.525,221783.1197,12965.70293,79930.68362,5.43313172,62.39908154,197.9807721,31,12.15195011,11.71238941,0.621118259,0.000265971
479074.0667,206022.8467,11974.76772,32434.58532,12.56460648,68.95763889,135.3763503,30,12.15195011,11.71238941,0.621118259,0.000265971
577095.3702,217551.4457,14281.2018,9046.361241,17.91901882,74.3156362,192.3388217,31,12.15195011,11.71238941,0.621118259,0.000265971
613297.248,213645.2851,16044.42805,494.7683504,22.21377315,69.30104167,225.3063657,30,12.15195011,11.71238941,0.621118259,0.000265971
664977.9221,209929.0073,18177.616,6.785588976,26.66420251,66.30790771,284.5905765,31,12.15195011,11.71238941,0.621118259,0.000265971
662084.0927,221783.1197,17017.33413,741.4888773,23.04596774,77.16319444,219.8065636,31,12.15195011,11.71238941,0.621118259,0.000265971
599466.2024,206022.8467,14306.17399,4439.976116,20.35770833,84.16527778,153.3049769,30,12.15195011,11.71238941,0.621118259,0.000265971
508914.1515,213319.7717,13117.30388,29952.63357,12.89782706,75.73711918,157.4538157,31,12.15195011,11.71238941,0.621118259,0.000265971
458364.9177,205181.9371,11843.0635,50416.08595,9.760949074,74.10636574,128.5277006,30,12.15195011,11.71238941,0.621118259,0.000265971
446527.3659,209929.0073,12205.89843,90549.42344,5.489852151,75.55857975,140.3433766,31,12.15195011,11.71238941,0.621118259,0.000265971
357415.5342,156523.2074,12204.04002,341383.1471,-2.113575269,70.30320341,156.7973417,31,10.33218589,8.767886726,0.703286651,0.000338191
333556.9006,144582.9315,9297.478815,179783.0408,1.942956349,62.61458333,188.2471892,28,10.33218589,8.767886726,0.703286651,0.000338191
381573.3892,166026.6922,10141.86183,113214.6264,5.43313172,62.39908154,197.9807721,31,10.33218589,8.767886726,0.703286651,0.000338191
396987.1325,154228.5625,9203.93457,45242.69743,12.56460648,68.95763889,135.3763503,30,10.33218589,8.767886726,0.703286651,0.000338191
481731.2126,162858.8639,10682.02965,13273.52,17.91901882,74.3156362,192.3388217,31,10.33218589,8.767886726,0.703286651,0.000338191
514099.0497,159934.7147,11928.13074,841.3822951,22.21377315,69.30104167,225.3063657,30,10.33218589,8.767886726,0.703286651,0.000338191
561955.3191,157152.7117,13834.96153,10.6750013,26.66420251,66.30790771,284.5905765,31,10.33218589,8.767886726,0.703286651,0.000338191
554609.0247,166026.6922,12662.08278,1154.349191,23.04596774,77.16319444,219.8065636,31,10.33218589,8.767886726,0.703286651,0.000338191
503052.8253,154228.5625,10649.48242,6488.301664,20.35770833,84.16527778,153.3049769,30,10.33218589,8.767886726,0.703286651,0.000338191
422444.7514,159691.0356,9947.741203,40825.36751,12.89782706,75.73711918,157.4538157,31,10.33218589,8.767886726,0.703286651,0.000338191
379280.1652,153599.0582,9226.645857,68353.5321,9.760949074,74.10636574,128.5277006,30,10.33218589,8.767886726,0.703286651,0.000338191
368380.0676,157152.7117,9617.006052,123749.1051,5.489852151,75.55857975,140.3433766,31,10.33218589,8.767886726,0.703286651,0.000338191
351657.7944,168829.3915,12607.86918,323450.2188,-2.113575269,70.30320341,156.7973417,31,8.749971786,9.45723644,0.641479409,0.000242461
327697.7809,155950.346,9577.949471,166791.5033,1.942956349,62.61458333,188.2471892,28,8.749971786,9.45723644,0.641479409,0.000242461
374803.9611,179080.0603,10874.76139,108252.9643,5.43313172,62.39908154,197.9807721,31,8.749971786,9.45723644,0.641479409,0.000242461
390441.5564,166354.3368,9848.215468,41970.00373,12.56460648,68.95763889,135.3763503,30,8.749971786,9.45723644,0.641479409,0.000242461
474141.3921,175663.1707,11535.60236,11964.06798,17.91901882,74.3156362,192.3388217,31,8.749971786,9.45723644,0.641479409,0.000242461
505927.6773,172509.1187,12928.81172,687.2638632,22.21377315,69.30104167,225.3063657,30,8.749971786,9.45723644,0.641479409,0.000242461
554159.4842,169508.3888,15000.61177,7.765354234,26.66420251,66.30790771,284.5905765,31,8.749971786,9.45723644,0.641479409,0.000242461
545727.9286,179080.0603,13716.3648,1007.72889,23.04596774,77.16319444,219.8065636,31,8.749971786,9.45723644,0.641479409,0.000242461
495266.8403,166354.3368,11509.98162,5917.375684,20.35770833,84.16527778,153.3049769,30,8.749971786,9.45723644,0.641479409,0.000242461
416014.5194,172246.2811,10713.17983,38006.83991,12.89782706,75.73711918,157.4538157,31,8.749971786,9.45723644,0.641479409,0.000242461
373344.9465,165675.3395,9900.833608,64020.91358,9.760949074,74.10636574,128.5277006,30,8.749971786,9.45723644,0.641479409,0.000242461
362698.3822,169508.3888,10274.34421,117343.9681,5.489852151,75.55857975,140.3433766,31,8.749971786,9.45723644,0.641479409,0.000242461
428824.0675,224121.587,13767.41464,252563.1436,-2.113575269,70.30320341,156.7973417,31,10.53980524,12.55451329,0.623820394,0.000271895
400365.9504,207024.6107,11001.48416,125936.9467,1.942956349,62.61458333,188.2471892,28,10.53980524,12.55451329,0.623820394,0.000271895
459234.4357,237729.3844,12667.77855,80365.53279,5.43313172,62.39908154,197.9807721,31,10.53980524,12.55451329,0.623820394,0.000271895
473859.0318,220835.9436,11720.88946,31912.56283,12.56460648,68.95763889,135.3763503,30,10.53980524,12.55451329,0.623820394,0.000271895
