Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
536373.4336,17.91901882,74.3156362,192.3388217,31,12.49087838,9.788376077,0.724922794
570901.5438,22.21377315,69.30104167,225.3063657,30,12.49087838,9.788376077,0.724922794
619120.3147,26.66420251,66.30790771,284.5905765,31,12.49087838,9.788376077,0.724922794
615574.8214,23.04596774,77.16319444,219.8065636,31,12.49087838,9.788376077,0.724922794
557730.5553,20.35770833,84.16527778,153.3049769,30,12.49087838,9.788376077,0.724922794
471749.942,12.89782706,75.73711918,157.4538157,31,12.49087838,9.788376077,0.724922794
424481.9358,9.760949074,74.10636574,128.5277006,30,12.49087838,9.788376077,0.724922794
413212.5827,5.489852151,75.55857975,140.3433766,31,12.49087838,9.788376077,0.724922794
434954.388,-2.113575269,70.30320341,156.7973417,31,12.6552485,11.30947598,0.516410687
406165.2501,1.942956349,62.61458333,188.2471892,28,12.6552485,11.30947598,0.516410687
466625.5467,5.43313172,62.39908154,197.9807721,31,12.6552485,11.30947598,0.516410687
481385.2482,12.56460648,68.95763889,135.3763503,30,12.6552485,11.30947598,0.516410687
580571.7837,17.91901882,74.3156362,192.3388217,31,12.6552485,11.30947598,0.516410687
617479.3717,22.21377315,69.30104167,225.3063657,30,12.6552485,11.30947598,0.516410687
668543.9596,26.66420251,66.30790771,284.5905765,31,12.6552485,11.30947598,0.516410687
666490.0785,23.04596774,77.16319444,219.8065636,31,12.6552485,11.30947598,0.516410687
603600.3618,20.35770833,84.16527778,153.3049769,30,12.6552485,11.30947598,0.516410687
511407.0306,12.89782706,75.73711918,157.4538157,31,12.6552485,11.30947598,0.516410687
460408.5473,9.760949074,74.10636574,128.5277006,30,12.6552485,11.30947598,0.516410687
448176.3163,5.489852151,75.55857975,140.3433766,31,12.6552485,11.30947598,0.516410687
394388.3452,-2.113575269,70.30320341,156.7973417,31,10.2476203,10.72443003,0.567222304
367469.8675,1.942956349,62.61458333,188.2471892,28,10.2476203,10.72443003,0.567222304
421037.0907,5.43313172,62.39908154,197.9807721,31,10.2476203,10.72443003,0.567222304
436380.3866,12.56460648,68.95763889,135.3763503,30,10.2476203,10.72443003,0.567222304
527767.8329,17.91901882,74.3156362,192.3388217,31,10.2476203,10.72443003,0.567222304
562239.2223,22.21377315,69.30104167,225.3063657,30,10.2476203,10.72443003,0.567222304
612773.4041,26.66420251,66.30790771,284.5905765,31,10.2476203,10.72443003,0.567222304
606483.7061,23.04596774,77.16319444,219.8065636,31,10.2476203,10.72443003,0.567222304
549702.5228,20.35770833,84.16527778,153.3049769,30,10.2476203,10.72443003,0.567222304
464271.5468,12.89782706,75.73711918,157.4538157,31,10.2476203,10.72443003,0.567222304
417352.5129,9.760949074,74.10636574,128.5277006,30,10.2476203,10.72443003,0.567222304
406140.2571,5.489852151,75.55857975,140.3433766,31,10.2476203,10.72443003,0.567222304
401731.4713,-2.113575269,70.30320341,156.7973417,31,10.79339742,10.9004571,0.667050894
374844.9983,1.942956349,62.61458333,188.2471892,28,10.79339742,10.9004571,0.667050894
429696.4889,5.43313172,62.39908154,197.9807721,31,10.79339742,10.9004571,0.667050894
444493.0644,12.56460648,68.95763889,135.3763503,30,10.79339742,10.9004571,0.667050894
536602.2659,17.91901882,74.3156362,192.3388217,31,10.79339742,10.9004571,0.667050894
571517.1106,22.21377315,69.30104167,225.3063657,30,10.79339742,10.9004571,0.667050894
622065.2633,26.66420251,66.30790771,284.5905765,31,10.79339742,10.9004571,0.667050894
616343.5821,23.04596774,77.16319444,219.8065636,31,10.79339742,10.9004571,0.667050894
558353.9366,20.35770833,84.16527778,153.3049769,30,10.79339742,10.9004571,0.667050894
472380.5073,12.89782706,75.73711918,157.4538157,31,10.79339742,10.9004571,0.667050894
425205.6671,9.760949074,74.10636574,128.5277006,30,10.79339742,10.9004571,0.667050894
413951.8033,5.489852151,75.55857975,140.3433766,31,10.79339742,10.9004571,0.667050894
408423.0782,-2.113575269,70.30320341,156.7973417,31,11.18637516,10.9807501,0.63746709
381120.9358,1.942956349,62.61458333,188.2471892,28,11.18637516,10.9807501,0.63746709
437031.5913,5.43313172,62.39908154,197.9807721,31,11.18637516,10.9807501,0.63746709
451745.101,12.56460648,68.95763889,135.3763503,30,11.18637516,10.9807501,0.63746709
545090.9976,17.91901882,74.3156362,192.3388217,31,11.18637516,10.9807501,0.63746709
579850.1987,22.21377315,69.30104167,225.3063657,30,11.18637516,10.9807501,0.63746709
630006.395,26.66420251,66.30790771,284.5905765,31,11.18637516,10.9807501,0.63746709
625670.8548,23.04596774,77.16319444,219.8065636,31,11.18637516,10.9807501,0.63746709
566959.6539,20.35770833,84.16527778,153.3049769,30,11.18637516,10.9807501,0.63746709
479700.8142,12.89782706,75.73711918,157.4538157,31,11.18637516,10.9807501,0.63746709
432026.2422,9.760949074,74.10636574,128.5277006,30,11.18637516,10.9807501,0.63746709
420743.6074,5.489852151,75.55857975,140.3433766,31,11.18637516,10.9807501,0.63746709
407858.722,-2.113575269,70.30320341,156.7973417,31,8.724061277,12.55747226,0.608356004
380108.5747,1.942956349,62.61458333,188.2471892,28,8.724061277,12.55747226,0.608356004
435223.5336,5.43313172,62.39908154,197.9807721,31,8.724061277,12.55747226,0.608356004
450485.4269,12.56460648,68.95763889,135.3763503,30,8.724061277,12.55747226,0.608356004
543636.6064,17.91901882,74.3156362,192.3388217,31,8.724061277,12.55747226,0.608356004
577789.8026,22.21377315,69.30104167,225.3063657,30,8.724061277,12.55747226,0.608356004
630578.0069,26.66420251,66.30790771,284.5905765,31,8.724061277,12.55747226,0.608356004
623195.0226,23.04596774,77.16319444,219.8065636,31,8.724061277,12.55747226,0.608356004
565250.1499,20.35770833,84.16527778,153.3049769,30,8.724061277,12.55747226,0.608356004
479050.7725,12.89782706,75.73711918,157.4538157,31,8.724061277,12.55747226,0.608356004
431226.6787,9.760949074,74.10636574,128.5277006,30,8.724061277,12.55747226,0.608356004
420243.9378,5.489852151,75.55857975,140.3433766,31,8.724061277,12.55747226,0.608356004
421801.1883,-2.113575269,70.30320341,156.7973417,31,10.72213412,11.90239351,0.538524769
393421.3054,1.942956349,62.61458333,188.2471892,28,10.72213412,11.90239351,0.538524769
451241.3243,5.43313172,62.39908154,197.9807721,31,10.72213412,11.90239351,0.538524769
466129.6599,12.56460648,68.95763889,135.3763503,30,10.72213412,11.90239351,0.538524769
562419.2551,17.91901882,74.3156362,192.3388217,31,10.72213412,11.90239351,0.538524769
598195.7209,22.21377315,69.30104167,225.3063657,30,10.72213412,11.90239351,0.538524769
650020.7474,26.66420251,66.30790771,284.5905765,31,10.72213412,11.90239351,0.538524769
645403.2406,23.04596774,77.16319444,219.8065636,31,10.72213412,11.90239351,0.538524769
584990.1852,20.35770833,84.16527778,153.3049769,30,10.72213412,11.90239351,0.538524769
495813.0909,12.89782706,75.73711918,157.4538157,31,10.72213412,11.90239351,0.538524769
446117.8324,9.760949074,74.10636574,128.5277006,30,10.72213412,11.90239351,0.538524769
434509.6618,5.489852151,75.55857975,140.3433766,31,10.72213412,11.90239351,0.538524769
380726.4026,-2.113575269,70.30320341,156.7973417,31,9.752404245,10.43127784,0.678685397
354941.2925,1.942956349,62.61458333,188.2471892,28,9.752404245,10.43127784,0.678685397
406393.85,5.43313172,62.39908154,197.9807721,31,9.752404245,10.43127784,0.678685397
421547.8375,12.56460648,68.95763889,135.3763503,30,9.752404245,10.43127784,0.678685397
509760.25,17.91901882,74.3156362,192.3388217,31,9.752404245,10.43127784,0.678685397
543213.595,22.21377315,69.30104167,225.3063657,30,9.752404245,10.43127784,0.678685397
592623.9173,26.66420251,66.30790771,284.5905765,31,9.752404245,10.43127784,0.678685397
585769.2241,23.04596774,77.16319444,219.8065636,31,9.752404245,10.43127784,0.678685397
531356.7684,20.35770833,84.16527778,153.3049769,30,9.752404245,10.43127784,0.678685397
448390.4501,12.89782706,75.73711918,157.4538157,31,9.752404245,10.43127784,0.678685397
403098.4354,9.760949074,74.10636574,128.5277006,30,9.752404245,10.43127784,0.678685397
392291.2088,5.489852151,75.55857975,140.3433766,31,9.752404245,10.43127784,0.678685397
404795.8272,-2.113575269,70.30320341,156.7973417,31,9.907437822,11.60516257,0.618660468
