Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
499350.1231,17.91901882,74.3156362,192.3388217,31,9.966139032,9.635724597,0.571694346,0.000307575
532380.8995,22.21377315,69.30104167,225.3063657,30,9.966139032,9.635724597,0.571694346,0.000307575
581571.8379,26.66420251,66.30790771,284.5905765,31,9.966139032,9.635724597,0.571694346,0.000307575
574165.3485,23.04596774,77.16319444,219.8065636,31,9.966139032,9.635724597,0.571694346,0.000307575
520881.3455,20.35770833,84.16527778,153.3049769,30,9.966139032,9.635724597,0.571694346,0.000307575
438334.6373,12.89782706,75.73711918,157.4538157,31,9.966139032,9.635724597,0.571694346,0.000307575
393567.7292,9.760949074,74.10636574,128.5277006,30,9.966139032,9.635724597,0.571694346,0.000307575
382414.3836,5.489852151,75.55857975,140.3433766,31,9.966139032,9.635724597,0.571694346,0.000307575
399870.4567,-2.113575269,70.30320341,156.7973417,31,10.98436085,10.65822517,0.65700316,0.000304719
373105.2629,1.942956349,62.61458333,188.2471892,28,10.98436085,10.65822517,0.65700316,0.000304719
427740.2009,5.43313172,62.39908154,197.9807721,31,10.98436085,10.65822517,0.65700316,0.000304719
442665.4237,12.56460648,68.95763889,135.3763503,30,10.98436085,10.65822517,0.65700316,0.000304719
534612.7895,17.91901882,74.3156362,192.3388217,31,10.98436085,10.65822517,0.65700316,0.000304719
569022.283,22.21377315,69.30104167,225.3063657,30,10.98436085,10.65822517,0.65700316,0.000304719
619480.7131,26.66420251,66.30790771,284.5905765,31,10.98436085,10.65822517,0.65700316,0.000304719
614017.6015,23.04596774,77.16319444,219.8065636,31,10.98436085,10.65822517,0.65700316,0.000304719
556359.0288,20.35770833,84.16527778,153.3049769,30,10.98436085,10.65822517,0.65700316,0.000304719
470448.3414,12.89782706,75.73711918,157.4538157,31,10.98436085,10.65822517,0.65700316,0.000304719
423249.4291,9.760949074,74.10636574,128.5277006,30,10.98436085,10.65822517,0.65700316,0.000304719
412062.6532,5.489852151,75.55857975,140.3433766,31,10.98436085,10.65822517,0.65700316,0.000304719
