Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
422827.404,5.43313172,62.39908154,197.9807721,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
435301.2796,12.56460648,68.95763889,135.3763503,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
522406.2277,17.91901882,74.3156362,192.3388217,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
553711.6944,22.21377315,69.30104167,225.3063657,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
600170.5144,26.66420251,66.30790771,284.5905765,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
596156.4624,23.04596774,77.16319444,219.8065636,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
540907.0622,20.35770833,84.16527778,153.3049769,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
462783.0872,12.89782706,75.73711918,157.4538157,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
417701.1941,9.760949074,74.10636574,128.5277006,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
407477.9354,5.489852151,75.55857975,140.3433766,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
408012.5898,-2.113575269,70.30320341,156.7973417,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
379819.6324,1.942956349,62.61458333,188.2471892,28,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
434865.3006,5.43313172,62.39908154,197.9807721,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
450759.6241,12.56460648,68.95763889,135.3763503,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
544685.4014,17.91901882,74.3156362,192.3388217,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
580115.6279,22.21377315,69.30104167,225.3063657,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
633101.9685,26.66420251,66.30790771,284.5905765,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
626403.6448,23.04596774,77.16319444,219.8065636,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
567819.4955,20.35770833,84.16527778,153.3049769,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
479213.4583,12.89782706,75.73711918,157.4538157,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
431202.2043,9.760949074,74.10636574,128.5277006,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
419765.8977,5.489852151,75.55857975,140.3433766,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
376260.354,-2.113575269,70.30320341,156.7973417,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
351465.823,1.942956349,62.61458333,188.2471892,28,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
402174.6983,5.43313172,62.39908154,197.9807721,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
423738.3992,12.56460648,68.95763889,135.3763503,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
521132.3954,17.91901882,74.3156362,192.3388217,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
560641.7914,22.21377315,69.30104167,225.3063657,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
619873.6128,26.66420251,66.30790771,284.5905765,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
607647.1584,23.04596774,77.16319444,219.8065636,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
549790.8361,20.35770833,84.16527778,153.3049769,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
451002.0471,12.89782706,75.73711918,157.4538157,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
402072.9321,9.760949074,74.10636574,128.5277006,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
389269.8505,5.489852151,75.55857975,140.3433766,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
411578.0819,-2.113575269,70.30320341,156.7973417,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
384449.9293,1.942956349,62.61458333,188.2471892,28,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
440097.8776,5.43313172,62.39908154,197.9807721,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
459610.2212,12.56460648,68.95763889,135.3763503,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
559901.7172,17.91901882,74.3156362,192.3388217,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
599161.1119,22.21377315,69.30104167,225.3063657,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
659595.3403,26.66420251,66.30790771,284.5905765,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
648911.8133,23.04596774,77.16319444,219.8065636,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
586588.1061,20.35770833,84.16527778,153.3049769,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
488546.9197,12.89782706,75.73711918,157.4538157,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
437667.6176,9.760949074,74.10636574,128.5277006,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
425286.059,5.489852151,75.55857975,140.3433766,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
374716.9011,-2.113575269,70.30320341,156.7973417,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
350011.4458,1.942956349,62.61458333,188.2471892,28,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
401430.3722,5.43313172,62.39908154,197.9807721,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
420086.7032,12.56460648,68.95763889,135.3763503,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
513860.528,17.91901882,74.3156362,192.3388217,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
551089.9631,22.21377315,69.30104167,225.3063657,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
