Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
435301.2796,191165.1298,10925.15351,37845.44776,12.56460648,68.95763889,135.3763503,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
522406.2277,201862.3227,12949.13068,10692.15369,17.91901882,74.3156362,192.3388217,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
553711.6944,198237.8621,14555.71246,597.2951673,22.21377315,69.30104167,225.3063657,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
600170.5144,194789.5905,16729.31103,7.540084776,26.66420251,66.30790771,284.5905765,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
596156.4624,205788.8218,15473.63188,878.4661973,23.04596774,77.16319444,219.8065636,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
540907.0622,191165.1298,12968.16452,5239.583309,20.35770833,84.16527778,153.3049769,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
462783.0872,197935.8237,11919.90254,34626.56558,12.89782706,75.73711918,157.4538157,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
417701.1941,190384.864,10898.59154,58364.45764,9.760949074,74.10636574,128.5277006,30,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
407477.9354,194789.5905,11289.44272,105776.1342,5.489852151,75.55857975,140.3433766,31,10.29475732,10.86772889,0.629103574,0.000319762,6.047655384
408012.5898,214225.0734,16307.95222,294263.3731,-2.113575269,70.30320341,156.7973417,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
379819.6324,197883.0465,12324.2161,145525.5354,1.942956349,62.61458333,188.2471892,28,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
434865.3006,227231.9927,13980.50503,92474.94458,5.43313172,62.39908154,197.9807721,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
450759.6241,211084.5138,12819.67062,36422.8714,12.56460648,68.95763889,135.3763503,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
544685.4014,222896.3529,15295.17097,10138.2035,17.91901882,74.3156362,192.3388217,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
580115.6279,218894.2239,17273.19864,556.6912499,22.21377315,69.30104167,225.3063657,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
633101.9685,215086.6428,19858.76952,6.546335774,26.66420251,66.30790771,284.5905765,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
626403.6448,227231.9927,18381.51701,803.1113195,23.04596774,77.16319444,219.8065636,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
567819.4955,211084.5138,15351.02301,4870.151762,20.35770833,84.16527778,153.3049769,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
479213.4583,218560.7131,14016.88309,33352.80234,12.89782706,75.73711918,157.4538157,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
431202.2043,210222.9443,12743.60671,56425.03259,9.760949074,74.10636574,128.5277006,30,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
419765.8977,215086.6428,13184.83133,102752.9825,5.489852151,75.55857975,140.3433766,31,9.378908261,12.00014495,0.541456244,0.00034793,5.429335792
376260.354,190434.9963,12631.90107,297205.6942,-2.113575269,70.30320341,156.7973417,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
351465.823,175907.7807,9833.120412,151591.3998,1.942956349,62.61458333,188.2471892,28,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
402174.6983,201997.474,11245.39083,97325.63136,5.43313172,62.39908154,197.9807721,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
423738.3992,187643.2014,10251.69783,37821.0696,12.56460648,68.95763889,135.3763503,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
521132.3954,198143.3147,12127.35306,10615.81113,17.91901882,74.3156362,192.3388217,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
560641.7914,194585.6293,13632.08544,580.5407131,22.21377315,69.30104167,225.3063657,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
619873.6128,191200.8869,15722.54032,5.967698694,26.66420251,66.30790771,284.5905765,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
607647.1584,201997.474,14483.59652,860.3044873,23.04596774,77.16319444,219.8065636,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
549790.8361,187643.2014,12128.60812,5205.439635,20.35770833,84.16527778,153.3049769,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
451002.0471,194289.1555,11184.33511,34558.15343,12.89782706,75.73711918,157.4538157,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
402072.9321,186877.3108,10243.43655,58308.22068,9.760949074,74.10636574,128.5277006,30,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
389269.8505,191200.8869,10611.38677,107103.1374,5.489852151,75.55857975,140.3433766,31,9.009792872,10.66750742,0.645268366,0.000245146,4.523409333
411578.0819,230386.3001,12350.97347,263250.3913,-2.113575269,70.30320341,156.7973417,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
384449.9293,212811.4241,9951.337382,133267.6089,1.942956349,62.61458333,188.2471892,28,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
440097.8776,244374.4667,11443.27389,84348.524,5.43313172,62.39908154,197.9807721,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
459610.2212,227008.8154,10572.37787,32588.27301,12.56460648,68.95763889,135.3763503,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
559901.7172,239711.7445,12685.89455,8915.286658,17.91901882,74.3156362,192.3388217,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
599161.1119,235407.6933,14359.07919,426.7373838,22.21377315,69.30104167,225.3063657,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
659595.3403,231312.8667,16420.61041,3.731761953,26.66420251,66.30790771,284.5905765,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
648911.8133,244374.4667,15253.10868,671.7978287,23.04596774,77.16319444,219.8065636,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
586588.1061,227008.8154,12744.9984,4235.028286,20.35770833,84.16527778,153.3049769,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
488546.9197,235049.0223,11620.37972,30273.28296,12.89782706,75.73711918,157.4538157,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
437667.6176,226082.2488,10457.97673,51014.22894,9.760949074,74.10636574,128.5277006,30,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
425286.059,231312.8667,10783.42433,94488.58514,5.489852151,75.55857975,140.3433766,31,8.642318514,12.90544078,0.665164155,0.000264161,4.790560457
374716.9011,159327.4589,13361.23682,316211.5778,-2.113575269,70.30320341,156.7973417,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
350011.4458,147173.2625,10076.52531,160496.8449,1.942956349,62.61458333,188.2471892,28,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
401430.3722,169001.207,11349.71694,103152.5157,5.43313172,62.39908154,197.9807721,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
420086.7032,156991.7035,10307.93711,41764.84638,12.56460648,68.95763889,135.3763503,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
513860.528,165776.6243,12024.40516,12188.67412,17.91901882,74.3156362,192.3388217,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
