Electricity:Facility,InteriorLights:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
379160.7127,140010.2529,10139.03111,125628.2607,1.942956349,62.61458333,188.2471892,28,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
435280.3702,165905.3817,11470.39803,80554.74056,5.43313172,62.39908154,197.9807721,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
454817.2467,149191.2531,10476.44735,32973.34481,12.56460648,68.95763889,135.3763503,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
555801.1053,159961.2726,12336.56781,9526.174282,17.91901882,74.3156362,192.3388217,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
596351.0159,159255.0418,13797.93947,588.8615805,22.21377315,69.30104167,225.3063657,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
653427.6402,149897.4839,15775.92906,7.974601657,26.66420251,66.30790771,284.5905765,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
645635.1014,165905.3817,14653.87732,818.6420728,23.04596774,77.16319444,219.8065636,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
583434.9679,149191.2531,12331.75496,4716.881583,20.35770833,84.16527778,153.3049769,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
482883.9682,154017.1635,11385.52228,30089.97774,12.89782706,75.73711918,157.4538157,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
431954.6823,147366.8236,10445.7839,50605.25566,9.760949074,74.10636574,128.5277006,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
418793.069,149897.4839,10817.03505,89999.57613,5.489852151,75.55857975,140.3433766,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
411190.7111,120400.5505,15476.65894,246815.5882,-2.113575269,70.30320341,156.7973417,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
383236.1662,113844.5587,11677.23442,121816.8637,1.942956349,62.61458333,188.2471892,28,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
439065.0779,134900.2988,13209.71302,77453.93035,5.43313172,62.39908154,197.9807721,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
456723.4478,121309.7756,12107.27667,30799.02447,12.56460648,68.95763889,135.3763503,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
554187.414,130067.0494,14404.35561,8649.751232,17.91901882,74.3156362,192.3388217,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
592159.2516,129492.8019,16242.51058,473.6086884,22.21377315,69.30104167,225.3063657,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
647718.7606,121884.0231,18632.52999,6.329053448,26.66420251,66.30790771,284.5905765,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
640190.3548,134900.2988,17272.44479,692.7337107,23.04596774,77.16319444,219.8065636,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
579596.0808,121309.7756,14453.70621,4188.554275,20.35770833,84.16527778,153.3049769,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
485465.0822,125233.7999,13223.24169,28246.90252,12.89782706,75.73711918,157.4538157,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
435536.1118,119826.303,12029.03301,47617.85571,9.760949074,74.10636574,128.5277006,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
423505.4636,121884.0231,12453.505,86209.30914,5.489852151,75.55857975,140.3433766,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
417915.8578,137661.8685,16980.70411,269970.1303,-2.113575269,70.30320341,156.7973417,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
389195.9382,130165.9719,12760.42858,132492.8971,1.942956349,62.61458333,188.2471892,28,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
446568.3492,154240.3845,14449.84939,84819.35491,5.43313172,62.39908154,197.9807721,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
457282.4728,138701.4454,13236.59807,34402.61511,12.56460648,68.95763889,135.3763503,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
546569.7442,148714.2125,15694.19392,9813.978784,17.91901882,74.3156362,192.3388217,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
577572.0499,148057.6376,17633.94133,564.8298104,22.21377315,69.30104167,225.3063657,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
622101.5317,139358.0203,20169.03899,8.32712963,26.66420251,66.30790771,284.5905765,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
