Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
525826.8757,184342.5367,12485.0971,11100.09423,17.91901882,74.3156362,192.3388217,31,11.48548393,9.924510351,0.651162996
559866.3788,181032.6458,13979.32916,662.4154475,22.21377315,69.30104167,225.3063657,30,11.48548393,9.924510351,0.651162996
608320.3188,177883.6523,16045.12145,10.06821815,26.66420251,66.30790771,284.5905765,31,11.48548393,9.924510351,0.651162996
603651.5417,187928.2519,14851.57058,938.7140168,23.04596774,77.16319444,219.8065636,31,11.48548393,9.924510351,0.651162996
547192.204,174573.7614,12479.50902,5508.227172,20.35770833,84.16527778,153.3049769,30,11.48548393,9.924510351,0.651162996
462373.124,180756.8215,11529.38902,35323.76151,12.89782706,75.73711918,157.4538157,31,11.48548393,9.924510351,0.651162996
415885.0583,173861.2154,10584.09279,59440.23605,9.760949074,74.10636574,128.5277006,30,11.48548393,9.924510351,0.651162996
404753.8385,177883.6523,10961.78877,106722.625,5.489852151,75.55857975,140.3433766,31,11.48548393,9.924510351,0.651162996
371824.2286,182369.2368,16672.30223,318388.5822,-2.113575269,70.30320341,156.7973417,31,8.971365203,10.21569157,0.504766552
345920.6018,168457.3126,12561.05786,161996.7866,1.942956349,62.61458333,188.2471892,28,8.971365203,10.21569157,0.504766552
395668.5464,193441.9927,14175.35159,103951.1881,5.43313172,62.39908154,197.9807721,31,8.971365203,10.21569157,0.504766552
411684.4342,179695.6867,12886.75844,40853.11224,12.56460648,68.95763889,135.3763503,30,8.971365203,10.21569157,0.504766552
499467.3404,189751.074,15151.81226,11616.11922,17.91901882,74.3156362,192.3388217,31,8.971365203,10.21569157,0.504766552
532628.8779,186344.0722,17046.98343,655.7466157,22.21377315,69.30104167,225.3063657,30,8.971365203,10.21569157,0.504766552
582328.9625,183102.6885,19740.19203,7.536697934,26.66420251,66.30790771,284.5905765,31,8.971365203,10.21569157,0.504766552
574484.724,193441.9927,18110.0318,949.4661446,23.04596774,77.16319444,219.8065636,31,8.971365203,10.21569157,0.504766552
521279.2121,179695.6867,15167.03768,5690.760543,20.35770833,84.16527778,153.3049769,30,8.971365203,10.21569157,0.504766552
438613.5517,186060.1554,14014.41282,37059.21436,12.89782706,75.73711918,157.4538157,31,8.971365203,10.21569157,0.504766552
393960.1311,178962.2349,12914.46567,62580.94698,9.760949074,74.10636574,128.5277006,30,8.971365203,10.21569157,0.504766552
382663.3746,183102.6885,13381.98682,113732.5443,5.489852151,75.55857975,140.3433766,31,8.971365203,10.21569157,0.504766552
409674.7248,216755.7667,15128.94357,278001.5156,-2.113575269,70.30320341,156.7973417,31,9.407944606,12.14190561,0.563545294
381864.9274,200220.6875,11808.45081,138988.6527,1.942956349,62.61458333,188.2471892,28,9.407944606,12.14190561,0.563545294
437461.6674,229916.34,13505.1836,88592.00603,5.43313172,62.39908154,197.9807721,31,9.407944606,12.14190561,0.563545294
452780.8346,213578.1069,12406.11025,34774.0772,12.56460648,68.95763889,135.3763503,30,9.407944606,12.14190561,0.563545294
546625.1764,225529.4823,14821.04127,9632.772699,17.91901882,74.3156362,192.3388217,31,9.407944606,12.14190561,0.563545294
581457.0504,221480.0751,16737.93612,494.2353857,22.21377315,69.30104167,225.3063657,30,9.407944606,12.14190561,0.563545294
633551.1295,217627.5141,19170.76177,5.56006254,26.66420251,66.30790771,284.5905765,31,9.407944606,12.14190561,0.563545294
627526.8348,229916.34,17796.9413,752.1103406,23.04596774,77.16319444,219.8065636,31,9.407944606,12.14190561,0.563545294
568876.2042,213578.1069,14875.53894,4639.899444,20.35770833,84.16527778,153.3049769,30,9.407944606,12.14190561,0.563545294
481548.499,221142.6245,13593.06406,32002.9945,12.89782706,75.73711918,157.4538157,31,9.407944606,12.14190561,0.563545294
433363.8878,212706.3596,12306.81007,54057.32991,9.760949074,74.10636574,128.5277006,30,9.407944606,12.14190561,0.563545294
422071.8061,217627.5141,12738.00668,98924.13118,5.489852151,75.55857975,140.3433766,31,9.407944606,12.14190561,0.563545294
442247.613,227571.4653,15107.98716,248292.2867,-2.113575269,70.30320341,156.7973417,31,11.2813668,12.7477635,0.585692824
412870.7566,210211.3172,11977.36248,122563.3128,1.942956349,62.61458333,188.2471892,28,11.2813668,12.7477635,0.585692824
473922.6153,241388.726,13812.29414,78754.72504,5.43313172,62.39908154,197.9807721,31,11.2813668,12.7477635,0.585692824
488419.3932,224235.2463,12810.60317,31701.45413,12.56460648,68.95763889,135.3763503,30,11.2813668,12.7477635,0.585692824
587952.9854,236782.9724,15356.21928,8753.591608,17.91901882,74.3156362,192.3388217,31,11.2813668,12.7477635,0.585692824
624414.4317,232531.5076,17293.06499,460.93224,22.21377315,69.30104167,225.3063657,30,11.2813668,12.7477635,0.585692824
678769.8539,228486.7112,19594.01946,5.909156576,26.66420251,66.30790771,284.5905765,31,11.2813668,12.7477635,0.585692824
674274.5227,241388.726,18338.96804,695.5808641,23.04596774,77.16319444,219.8065636,31,11.2813668,12.7477635,0.585692824
610109.8179,224235.2463,15400.75188,4184.747391,20.35770833,84.16527778,153.3049769,30,11.2813668,12.7477635,0.585692824
518781.4858,232177.2189,14050.34298,29309.08371,12.89782706,75.73711918,157.4538157,31,11.2813668,12.7477635,0.585692824
467618.9501,223320.0004,12642.12022,49470.94712,9.760949074,74.10636574,128.5277006,30,11.2813668,12.7477635,0.585692824
455698.3116,228486.7112,13000.42459,89263.14621,5.489852151,75.55857975,140.3433766,31,11.2813668,12.7477635,0.585692824
402171.7391,188889.524,16603.72891,290995.5622,-2.113575269,70.30320341,156.7973417,31,11.02637611,10.58093543,0.529986246
374939.773,174480.2038,12649.96323,144719.7683,1.942956349,62.61458333,188.2471892,28,11.02637611,10.58093543,0.529986246
429904.3122,200358.1666,14368.3808,92855.39591,5.43313172,62.39908154,197.9807721,31,11.02637611,10.58093543,0.529986246
