Electricity:Facility,InteriorLights:Electricity,InteriorEquipment:Electricity,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
457282.4728,138701.4454,192242.0462,12.56460648,68.95763889,135.3763503,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
546569.7442,148714.2125,202999.501,17.91901882,74.3156362,192.3388217,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
577572.0499,148057.6376,199354.6222,22.21377315,69.30104167,225.3063657,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
622101.5317,139358.0203,195886.925,26.66420251,66.30790771,284.5905765,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
621545.1039,154240.3845,206948.1198,23.04596774,77.16319444,219.8065636,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
563867.1819,138701.4454,192242.0462,20.35770833,84.16527778,153.3049769,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
485894.108,143188.0405,199050.8823,12.89782706,75.73711918,157.4538157,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
439580.4622,137005.2936,191457.3848,9.760949074,74.10636574,128.5277006,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
429137.7188,139358.0203,195886.925,5.489852151,75.55857975,140.3433766,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
374658.2432,101912.4227,186925.3967,-2.113575269,70.30320341,156.7973417,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
348286.1598,96363.13735,172665.9087,1.942956349,62.61458333,188.2471892,28,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
397956.0251,114185.6596,198274.7851,5.43313172,62.39908154,197.9807721,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
410506.8511,102682.0316,184185.0529,12.56460648,68.95763889,135.3763503,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
493459.3928,110094.5806,194491.6556,17.91901882,74.3156362,192.3388217,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
522856.4698,109608.5118,190999.5361,22.21377315,69.30104167,225.3063657,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
568131.56,103168.1004,187677.1724,26.66420251,66.30790771,284.5905765,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
562550.0056,114185.6596,198274.7851,23.04596774,77.16319444,219.8065636,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
510991.8946,102682.0316,184185.0529,20.35770833,84.16527778,153.3049769,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
437464.0857,106003.5017,190708.5262,12.89782706,75.73711918,157.4538157,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
394507.8698,101426.3539,183433.2772,9.760949074,74.10636574,128.5277006,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
384538.6798,103168.1004,187677.1724,5.489852151,75.55857975,140.3433766,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
365694.1538,114500.8426,171247.3914,-2.113575269,70.30320341,156.7973417,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
